Support,Link,Interval (sec),Transfer,,Bitrate,,Retr,Cwnd,
vm,node01,0.00-1.00,365,MBytes,3.06,Gbits/sec,1840,221,KBytes
vm,node01,1.00-2.00,382,MBytes,3.20,Gbits/sec,2618,215,KBytes
vm,node01,2.00-3.00,380,MBytes,3.18,Gbits/sec,2110,233,KBytes
vm,node01,3.00-4.00,393,MBytes,3.30,Gbits/sec,2125,219,KBytes
vm,node01,4.00-5.00,371,MBytes,3.11,Gbits/sec,2070,206,KBytes
vm,node01,5.00-6.00,372,MBytes,3.12,Gbits/sec,1898,208,KBytes
vm,node01,6.00-7.00,372,MBytes,3.12,Gbits/sec,2520,199,KBytes
vm,node01,7.00-8.00,368,MBytes,3.09,Gbits/sec,1935,226,KBytes
vm,node01,8.00-9.00,416,MBytes,3.49,Gbits/sec,2790,215,KBytes
vm,node01,9.00-10.00,394,MBytes,3.32,Gbits/sec,2070,214,KBytes
vm,node02,0.00-1.00,371,MBytes,3.11,Gbits/sec,2498,215,KBytes
vm,node02,1.00-2.00,380,MBytes,3.19,Gbits/sec,2349,215,KBytes
vm,node02,2.00-3.00,366,MBytes,3.07,Gbits/sec,1935,177,KBytes
vm,node02,3.00-4.00,383,MBytes,3.21,Gbits/sec,2439,208,KBytes
vm,node02,4.00-5.00,385,MBytes,3.23,Gbits/sec,2366,171,KBytes
vm,node02,5.00-6.00,374,MBytes,3.13,Gbits/sec,2176,214,KBytes
vm,node02,6.00-7.00,389,MBytes,3.26,Gbits/sec,2070,218,KBytes
vm,node02,7.00-8.00,403,MBytes,3.38,Gbits/sec,2121,191,KBytes
vm,node02,8.00-9.00,404,MBytes,3.39,Gbits/sec,2823,226,KBytes
vm,node02,9.00-10.00,395,MBytes,3.31,Gbits/sec,2228,170,KBytes
vm,node02,10.00-10.01,2.11,MBytes,2.28,Gbits/sec,0,170,KBytes
vm,s01c02,0.00-1.00,207,MBytes,2.14,Gbits/sec,1080,204,KBytes
vm,s01c02,1.00-2.00,258,MBytes,2.16,Gbits/sec,1589,215,KBytes
vm,s01c02,2.00-3.00,255,MBytes,2.14,Gbits/sec,1710,178,KBytes
vm,s01c02,3.00-4.00,265,MBytes,2.23,Gbits/sec,1620,208,KBytes
vm,s01c02,4.00-5.00,258,MBytes,2.17,Gbits/sec,1755,215,KBytes
