Support,Transfer,,Bitrate,,Jitter (ms),Lost/Total,Datagrams
vm,28.2,MBytes,236,Mbits/sec,0.026,0/20416,0.0000%
vm,38.5,MBytes,323,Mbits/sec,0.032,594/28499,-2.1000%
vm,40,MBytes,336,Mbits/sec,0.017,0/28977,0.0000%
vm,39.2,MBytes,329,Mbits/sec,0.014,0/28366,0.0000%
vm,39.2,MBytes,328,Mbits/sec,0.028,134/28485,-0.4700%
vm,45.2,MBytes,379,Mbits/sec,0.068,13435/46141,-29.0000%
vm,57.4,MBytes,481,Mbits/sec,0.084,12809/54363,-24.0000%
vm,66.4,MBytes,557,Mbits/sec,0.092,9226/57284,-16.0000%
vm,52,MBytes,437,Mbits/sec,0.03,12318/50005,-25.0000%
vm,55.5,MBytes,466,Mbits/sec,0.028,8093/48285,-17.0000%
vm,89.1,KBytes,1.47,Gbits/sec,0.017,0/63,0.0000%
vm,52.1,MBytes,437,Mbits/sec,0.026,15/37750,-0.0400%
vm,73.4,MBytes,616,Mbits/sec,0.025,0/53154,0.0000%
vm,60,MBytes,503,Mbits/sec,0.021,9881/53308,-19.0000%
vm,60.1,MBytes,504,Mbits/sec,0.028,12269/55801,-22.0000%
vm,43.4,MBytes,364,Mbits/sec,0.04,24992/56413,-44.0000%
vm,60.5,MBytes,507,Mbits/sec,0.024,8592/52373,-16.0000%
vm,76.1,MBytes,638,Mbits/sec,0.017,117/55228,-0.2100%
vm,53.8,MBytes,452,Mbits/sec,0.011,0/38986,0.0000%
vm,39.8,MBytes,334,Mbits/sec,0.02,0/28808,0.0000%
vm,39.6,MBytes,333,Mbits/sec,0.04,574/29279,-2.0000%
vm,35.3,MBytes,296,Mbits/sec,0.021,529/26096,-2.0000%
vm,41.4,MBytes,347,Mbits/sec,0.049,307/30286,-1.0000%
vm,36.7,MBytes,308,Mbits/sec,0.036,0/26583,0.0000%
vm,39.1,MBytes,328,Mbits/sec,0.031,0/28329,0.0000%
vm,39.7,MBytes,333,Mbits/sec,0.036,0/28734,0.0000%
vm,39.8,MBytes,334,Mbits/sec,0.124,12758/41613,-31.0000%
vm,52.6,MBytes,442,Mbits/sec,0.054,14263/52374,-27.0000%
vm,55.4,MBytes,465,Mbits/sec,0.023,11194/51333,-22.0000%
vm,57.8,MBytes,485,Mbits/sec,0.027,10347/52227,-20.0000%
vm,53.2,MBytes,446,Mbits/sec,0.079,13740/52248,-26.0000%
vm,129,KBytes,231,Mbits/sec,0.043,154/245,-63.0000%
vm,49.9,MBytes,418,Mbits/sec,0.041,1245/37361,-3.3000%
vm,51.1,MBytes,429,Mbits/sec,0.025,14856/51868,-29.0000%
vm,69.6,MBytes,584,Mbits/sec,0.026,180/50572,-0.3600%
vm,50,MBytes,420,Mbits/sec,0.133,19487/55726,-35.0000%
vm,66.3,MBytes,557,Mbits/sec,0.029,10641/58684,-18.0000%
vm,61.7,MBytes,517,Mbits/sec,0.029,9245/53921,-17.0000%
vm,48.6,MBytes,408,Mbits/sec,0.029,20143/55358,-36.0000%
vm,58.4,MBytes,489,Mbits/sec,0.04,12600/54856,-23.0000%
vm,51.4,MBytes,431,Mbits/sec,0.141,18206/55456,-33.0000%
vm,40.8,MBytes,342,Mbits/sec,0.034,22120/51637,-43.0000%
vm,157,KBytes,292,Mbits/sec,0.02,59/170,-35.0000%
container,185,MBytes,1.55,Gbits/sec,0.002,0/134162,0.0000%
container,202,MBytes,1.69,Gbits/sec,0.002,0/145998,0.0000%
container,207,MBytes,1.73,Gbits/sec,0.002,0/149749,0.0000%
container,205,MBytes,1.72,Gbits/sec,0.002,0/148627,0.0000%
container,206,MBytes,1.73,Gbits/sec,0.002,0/148955,0.0000%
container,202,MBytes,1.69,Gbits/sec,0.002,0/146250,0.0000%
container,202,MBytes,1.7,Gbits/sec,0.002,0/146456,0.0000%
container,211,MBytes,1.77,Gbits/sec,0.002,0/152458,0.0000%
container,203,MBytes,1.7,Gbits/sec,0.002,0/146811,0.0000%
container,212,MBytes,1.77,Gbits/sec,0.002,0/153176,0.0000%
container,36.8,KBytes,675,Mbits/sec,0.002,0/27,0.0000%
container,185,MBytes,1.55,Gbits/sec,0.003,0/133719,0.0000%
container,201,MBytes,1.69,Gbits/sec,0.002,0/145857,0.0000%
container,199,MBytes,1.67,Gbits/sec,0.003,0/144157,0.0000%
container,198,MBytes,1.66,Gbits/sec,0.003,0/143059,0.0000%
container,200,MBytes,1.67,Gbits/sec,0.003,149/144629,-0.1000%
container,195,MBytes,1.63,Gbits/sec,0.001,0/141042,0.0000%
container,201,MBytes,1.68,Gbits/sec,0.003,0/145421,0.0000%
container,205,MBytes,1.72,Gbits/sec,0.003,0/148289,0.0000%
container,210,MBytes,1.76,Gbits/sec,0.002,0/151727,0.0000%
container,210,MBytes,1.76,Gbits/sec,0.003,0/151981,0.0000%
container,41,KBytes,752,Mbits/sec,0.002,0/30,0.0000%
container,184,MBytes,1.54,Gbits/sec,0.002,0/132954,0.0000%
container,201,MBytes,1.69,Gbits/sec,0.003,0/145734,0.0000%
container,208,MBytes,1.75,Gbits/sec,0.002,0/150732,0.0000%
container,216,MBytes,1.81,Gbits/sec,0.002,0/156245,0.0000%
container,205,MBytes,1.72,Gbits/sec,0.002,0/148332,0.0000%
container,202,MBytes,1.7,Gbits/sec,0.002,0/146585,0.0000%
container,207,MBytes,1.73,Gbits/sec,0.003,0/149594,0.0000%
container,206,MBytes,1.73,Gbits/sec,0.003,0/149443,0.0000%
container,205,MBytes,1.72,Gbits/sec,0.003,326/148585,-0.2200%
container,213,MBytes,1.79,Gbits/sec,0.002,6/154134,-0.0039%
container,33.9,KBytes,565,Mbits/sec,0.002,0/24,0.0000%
container,175,MBytes,1.47,Gbits/sec,0.003,0/126488,0.0000%
container,214,MBytes,1.8,Gbits/sec,0.002,0/155241,0.0000%
container,207,MBytes,1.73,Gbits/sec,0.003,0/149775,0.0000%
container,209,MBytes,1.75,Gbits/sec,0.003,0/151453,0.0000%
container,202,MBytes,1.69,Gbits/sec,0.003,31/145994,-0.0210%
container,203,MBytes,1.71,Gbits/sec,0.002,0/147201,0.0000%
container,200,MBytes,1.68,Gbits/sec,0.002,0/144814,0.0000%
container,206,MBytes,1.73,Gbits/sec,0.001,0/148937,0.0000%
container,205,MBytes,1.72,Gbits/sec,0.002,7/148098,-0.0047%
container,216,MBytes,1.81,Gbits/sec,0.003,0/156340,0.0000%
container,36.8,KBytes,672,Mbits/sec,0.002,0/27,0.0000%
