support,total_operations,ops_per_sec,transfer_mib,transfer_rate_mibs,total_time,latency_min,latency_avg,latency_max,latency_95th,latency_sum,fairness_events_avg,fairness_events_stddev,fairness_time_avg,fairness_time_stddev
vm,10485760,4084237.7,10240,3988.51,2.5659,0,0,2.51,0,1063.98,10485760,0,1.0665,0
vm,10485760,4050951.6,10240,3956.01,2.5869,0,0,1.67,0,1072.58,10485760,0,1.0726,0
vm,10485760,4031061.3,10240,3936.58,2.5991,0,0,1.34,0,1077.06,10485760,0,1.0771,0
vm,10485760,4095310.05,10240,3999.33,2.5589,0,0,0.9,0,1059.26,10485760,0,1.0593,0
vm,10485760,4080990.49,10240,3985.34,2.5675,0,0,0.9,0,1062.7,10485760,0,1.0627,0
vm,10485760,4061779.47,10240,3966.58,2.5801,0,0,0.92,0,1073.25,10485760,0,1.0733,0
vm,10485760,4024689.96,10240,3930.36,2.604,0,0,0.94,0,1081.16,10485760,0,1.0812,0
vm,10485760,4100256.42,10240,4004.16,2.5558,0,0,1.37,0,1058.16,10485760,0,1.0582,0
vm,10485760,4079686.78,10240,3984.07,2.5681,0,0,0.92,0,1064.27,10485760,0,1.0643,0
vm,10485760,4062367.47,10240,3967.16,2.5795,0,0,1.73,0,1065.68,10485760,0,1.0657,0
vm,10485760,4055612.68,10240,3960.56,2.5838,0,0,1.37,0,1070.17,10485760,0,1.0702,0
vm,10485760,4091320.34,10240,3995.43,2.5614,0,0,1.63,0,1059.63,10485760,0,1.0596,0
vm,10485760,4093690.49,10240,3997.74,2.5598,0,0,0.91,0,1057.51,10485760,0,1.0575,0
vm,10485760,4086961.83,10240,3991.17,2.5641,0,0,0.43,0,1060.9,10485760,0,1.0609,0
vm,10485760,4074603.72,10240,3979.11,2.572,0,0,1.65,0,1067.5,10485760,0,1.0675,0
vm,10485760,4112687.15,10240,4016.3,2.5481,0,0,0.9,0,1052.16,10485760,0,1.0602,0
vm,10485760,4079633.43,10240,3984.02,2.5688,0,0,0.9,0,1064.85,10485760,0,1.0648,0
vm,10485760,4041417.67,10240,3946.7,2.593,0,0,1.75,0,1078.88,10485760,0,1.0789,0
container,10485760,5981490.3,10240,5841.3,1.7511,0,0,1.94,0,811.52,10485760,0,0.8115,0
container,10485760,5963428.33,10240,5823.66,1.7565,0,0,1.94,0,815.33,10485760,0,0.8153,0
container,10485760,5954431.35,10240,5814.87,1.759,0,0,0.9,0,815.84,10485760,0,0.8158,0
container,10485760,5913450.08,10240,5774.85,1.7715,0,0,1.94,0,821.94,10485760,0,0.8219,0
container,10485760,5778430.78,10240,5643,1.813,0,0,0.9,0,840.09,10485760,0,0.8401,0
container,10485760,5730207.28,10240,5595.91,1.8282,0,0,0.99,0,846.59,10485760,0,0.8466,0
container,10485760,5729827.23,10240,5595.53,1.8283,0,0,0.99,0,852.14,10485760,0,0.8521,0
container,10485760,5692795.99,10240,5559.37,1.8397,0,0,1.52,0,859.39,10485760,0,0.8594,0
