stressor,bogo_ops,real_time,usr_time,sys_time,bogo_ops_real,bogo_ops_cpu
vm,3209355,60.03,39.35,9.67,53461.08,65476.46
vm,3020427,60.04,34.91,9.68,50306.49,67730.11
vm,3020427,60.80,35.53,8.37,49675.04,68800.97
vm,3657087,62.81,42.36,11.92,58225.74,67377.73
vm,3019915,60.05,33.06,8.01,50286.70,73519.97
vm,2478437,60.22,28.36,8.54,41159.00,67163.44
vm,2757771,60.65,30.25,8.17,45466.74,71781.28
vm,3057803,62.56,34.79,10.17,48879.90,67999.85
vm,3646617,60.05,42.68,11.70,60727.41,67056.83
vm,3227787,61.75,39.54,10.46,52275.75,64548.06
vm,3022987,64.62,0.00,0.00,46781.35,522375496.80
vm,3209355,65.12,0.00,0.12,49285.18,26657100.85
vm,3020469,60.04,36.50,8.79,50305.54,66681.30
vm,3299971,60.04,41.74,10.67,54960.15,62965.17
vm,3267447,60.05,39.92,10.71,54410.39,64524.40
vm,3237033,60.08,40.77,10.78,53881.54,62800.54
vm,3183677,60.04,39.17,10.29,53028.74,64374.32
vm,3707007,60.04,45.70,12.02,61745.03,64225.28
vm,2895414,60.07,34.01,8.59,48202.37,67973.20
vm,3227787,61.78,41.09,10.32,52248.69,62780.88
