total_operations,ops_per_sec,transfer_mib,transfer_rate_mibs,total_time,latency_min,latency_avg,latency_max,latency_95th,latency_sum,fairness_events_avg,fairness_events_stddev,fairness_time_avg,fairness_time_stddev
10485760.0,5981490.3,10240.0,5841.3,1.7511,0.0,0.0,1.94,0.0,811.52,10485760.0,0.0,0.8115,0.0
10485760.0,5963428.33,10240.0,5823.66,1.7565,0.0,0.0,1.94,0.0,815.33,10485760.0,0.0,0.8153,0.0
10485760.0,5954431.35,10240.0,5814.87,1.759,0.0,0.0,0.9,0.0,815.84,10485760.0,0.0,0.8158,0.0
10485760.0,5913450.08,10240.0,5774.85,1.7715,0.0,0.0,1.94,0.0,821.94,10485760.0,0.0,0.8219,0.0
10485760.0,5778430.78,10240.0,5643.0,1.813,0.0,0.0,0.9,0.0,840.09,10485760.0,0.0,0.8401,0.0
10485760.0,5730207.28,10240.0,5595.91,1.8282,0.0,0.0,0.99,0.0,846.59,10485760.0,0.0,0.8466,0.0
10485760.0,5729827.23,10240.0,5595.53,1.8283,0.0,0.0,0.99,0.0,852.14,10485760.0,0.0,0.8521,0.0
10485760.0,5692795.99,10240.0,5559.37,1.8397,0.0,0.0,1.52,0.0,859.39,10485760.0,0.0,0.8594,0.0
10485760.0,5783022.89,10240.0,5647.48,1.8115,0.0,0.0,0.04,0.0,835.87,10485760.0,0.0,0.8359,0.0
10485760.0,5767836.47,10240.0,5632.65,1.816,0.0,0.0,2.3,0.0,841.95,10485760.0,0.0,0.842,0.0
10485760.0,5763313.79,10240.0,5628.24,1.8175,0.0,0.0,1.19,0.0,841.64,10485760.0,0.0,0.8416,0.0
10485760.0,5755093.9,10240.0,5620.21,1.8204,0.0,0.0,0.88,0.0,842.17,10485760.0,0.0,0.8422,0.0
10485760.0,5788033.59,10240.0,5652.38,1.81,0.0,0.0,0.88,0.0,836.62,10485760.0,0.0,0.8366,0.0
10485760.0,5779880.22,10240.0,5644.41,1.8123,0.0,0.0,0.88,0.0,839.73,10485760.0,0.0,0.8397,0.0
10485760.0,5765644.15,10240.0,5630.51,1.817,0.0,0.0,0.88,0.0,840.32,10485760.0,0.0,0.8403,0.0
10485760.0,5757788.56,10240.0,5622.84,1.8194,0.0,0.0,0.88,0.0,841.6,10485760.0,0.0,0.8416,0.0
10485760.0,5734892.86,10240.0,5600.48,1.8267,0.0,0.0,2.11,0.0,845.62,10485760.0,0.0,0.8456,0.0
10485760.0,5697255.19,10240.0,5563.73,1.8388,0.0,0.0,2.11,0.0,859.12,10485760.0,0.0,0.8591,0.0
10485760.0,5638531.95,10240.0,5506.38,1.858,0.0,0.0,2.11,0.0,845.86,10485760.0,0.0,0.8459,0.0
10485760.0,5638471.96,10240.0,5506.32,1.858,0.0,0.0,1.07,0.0,866.43,10485760.0,0.0,0.8664,0.0
