events_per_sec,total_time,total_events,latency_min,latency_avg,latency_max,latency_95th,latency_sum,fairness_events_avg,fairness_events_stddev,fairness_time_avg,fairness_time_stddev
458.21,10.0004,4583,2.03,2.18,10.64,2.3,9998.66,4583.0,0.0,9.9987,0.0
458.2,10.0007,4583,2.03,2.18,10.98,2.3,9998.94,4583.0,0.0,9.9989,0.0
458.19,10.0009,4583,2.03,2.18,10.62,2.35,9998.96,4583.0,0.0,9.999,0.0
458.55,10.0016,4587,2.03,2.18,11.63,2.3,9999.9,4587.0,0.0,9.9999,0.0
463.76,10.0015,4639,2.03,2.16,6.01,2.18,10000.16,4639.0,0.0,10.0002,0.0
462.9,10.0006,4630,2.03,2.16,6.01,2.18,9999.22,4630.0,0.0,9.9992,0.0
462.39,10.0009,4625,2.03,2.16,5.98,2.18,9999.43,4625.0,0.0,9.9994,0.0
462.37,10.0013,4625,2.03,2.16,4.54,2.18,9999.81,4625.0,0.0,9.9998,0.0
461.86,10.0016,4620,2.03,2.16,4.54,2.18,10000.06,4620.0,0.0,10.0001,0.0
461.38,10.0011,4615,2.03,2.17,4.76,2.18,9999.7,4615.0,0.0,9.9997,0.0
461.67,10.0013,4618,2.03,2.17,4.55,2.18,9999.71,4618.0,0.0,9.9997,0.0
460.12,10.0001,4602,2.03,2.17,4.62,2.22,9998.7,4609.0,0.0,9.9987,0.0
460.36,10.0014,4605,2.03,2.17,4.5,2.22,9999.82,4605.0,0.0,9.9998,0.0
460.37,10.0012,4605,2.03,2.17,4.49,2.22,9999.85,4605.0,0.0,9.9999,0.0
456.49,10.0009,4566,2.03,2.19,4.15,2.35,9999.56,4566.0,0.0,9.9996,0.0
456.1,10.0005,4562,2.03,2.19,4.15,2.35,9999.23,4562.0,0.0,9.9992,0.0
456.66,10.001,4568,2.03,2.19,4.25,2.35,9999.75,4568.0,0.0,9.9997,0.0
455.72,10.0019,4559,2.05,2.19,4.19,2.35,10000.52,4559.0,0.0,10.0005,0.0
