	Iozone: Performance Test of File I/O
	        Version $Revision: 3.506 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Wed Apr 30 19:42:08 2025

	Auto Mode
	Excel chart generation enabled
	OPS Mode. Output is in operations per second.
	Command line used: iozone -a -R -O
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                                    random    random      bkwd     record     stride                                        
              kB  reclen    write    rewrite      read    reread      read     write      read    rewrite       read    fwrite  frewrite     fread   freread
              64       4    181962    371165    800767   1141196    665724    290759    281018     232366     409685    313877    257313    589679    840903
              64       8    140509    258497    365494    473894    420451    228563    284828     258497     420451    258497    177719    248909    382144
              64      16     20514     37381    137737    114281     87016     35710     49372      39964      65585     21055     37718     80348    104985
              64      32     11293     11172     83215     90388     71816     15511     28551      18008      38514     15744     23249     38514     71207
              64      64      6098     11372     40019     62783     34719      9262     12164       9713      20379     10623      8927     18909     43779
             128       4     39606     81650    178764    191519    122148     83116     94134     100027      88138     85554     75284    144195    213109
             128       8     32996     76625    104562    190214    103275     52436     63202      76190      78051     66391     62965    108099    173944
             128      16     14571     31871     90005    133255     98745     40002     50321      42323      86079     35741     47879     98745     96198
             128      32      8314     20291     62646     58907     64576     22227     39587      25779      43039     23503     24111     48237     69961
             128      64      5320     12196     40958     57140     46395     11834     23844      15744      32792     11055     18525     27431     35127
             128     128      3345      7642     14726     23857     19991      6098      7519       6178      15152      7196      5498     17490     16396
             256       4     58396     84418    222989    169380    103530     64453     98298      77856     124286    106997     96531    299323    277078
             256       8     44816     90883    206550    233501    153953     78224    126049     101234     127971    121705     99067    223768    240617
             256      16     28128     58620    158348    199844    131378     67527     94015      78507     110959     66921     52111     81660    122059
             256      32     11429     23192     50321     84989     67813     25327     49141      39812      70079     30648     31248     53362     66077
             256      64      6145     15144     36017     48099     45490     11725     23974      14758      41241     16260     18440     36647     47020
             256     128      3595      7998     26646     16390     21519      5634     14393       8340      14931      4976     12339     19982     16683
             256     256      1949      3597     11788     14472      9345      3965      8633       4482       6670      3449      3920     10985      7087
             512       4     52353    104331    176092    208185    120542     82738    100786     130472     181081    167939    128782    265015    288981
             512       8     46783    112278    181399    268756    148077     84206    123771      99834     163301    130068    119156    188798    260160
             512      16     36286     85066    104873    194010    122595     56139    121705      80427     127971     87965     59817    139113    140423
             512      32     21218     43724     98140    115147    108977     49717     83385      61297     117568     38177     36122     77689     84647
             512      64     11680     17578     31992     46486     43701     19330     25735      17505      45726     16596     12364     38844     42755
             512     128      2865      7679     16950     20615     21737      9452     13742       9219      23405      9025     10206     17552     23669
             512     256      1467      3448     10423     11902      9953      5115      7295       5289       8193      3539      5494      7220     10634
             512     512       926      2053      5623      6712      5211      2313      5205       2386       4589      1620      2158      4080      4116
            1024       4     61837     91399    179411    208663    134523     94049    115882     153111     228952    180800    176666    544547    641497
            1024       8     41435     86191    140955    137349     95379     56885     82268      85450     104575     66561     78286    129559    154592
