events_per_sec,total_time,total_events,latency_min,latency_avg,latency_max,latency_95th,latency_sum,fairness_events_avg,fairness_events_stddev,fairness_time_avg,fairness_time_stddev
453.61,10.0004,4537,2.03,2.2,7.37,2.35,9997.35,4537.0,0.0,9.9973,0.0
454.32,10.0004,4544,2.04,2.2,6.75,2.35,9997.37,4544.0,0.0,9.9974,0.0
454.85,10.0018,4550,2.03,2.2,5.18,2.35,9998.86,4550.0,0.0,9.9989,0.0
455.4,10.0008,4555,2.03,2.19,8.29,2.35,9998.04,4555.0,0.0,9.998,0.0
451.09,10.0009,4512,2.06,2.22,6.2,2.39,9997.94,4512.0,0.0,9.9979,0.0
453.33,10.0021,4535,2.05,2.2,7.7,2.35,9999.12,4535.0,0.0,9.9991,0.0
455.31,10.0012,4540,2.05,2.2,6.4,2.35,9998.32,4540.0,0.0,9.9983,0.0
451.89,10.0009,4520,2.07,2.21,5.81,2.39,9997.8,4520.0,0.0,9.9978,0.0
453.84,10.0019,4540,2.05,2.2,5.63,2.35,9998.69,4540.0,0.0,9.9987,0.0
454.17,10.001,4543,2.05,2.2,5.82,2.35,9998.04,4543.0,0.0,9.998,0.0
455.17,10.0029,4554,2.04,2.2,5.63,2.39,9999.6,4554.0,0.0,9.9996,0.0
452.94,10.002,4531,2.04,2.21,5.0,2.35,9998.95,4531.0,0.0,9.999,0.0
454.17,10.001,4543,2.03,2.2,4.96,2.39,9997.89,4543.0,0.0,9.9979,0.0
455.5,10.0025,4557,2.03,2.2,5.21,2.35,9997.49,4552.0,0.0,9.9975,0.0
454.93,10.0013,4522,2.05,2.21,4.58,2.39,9998.1,4522.0,0.0,9.9981,0.0
452.55,10.0001,4550,2.03,2.21,7.87,2.39,9998.06,4527.0,0.0,9.9981,0.0
454.5,10.0023,4547,2.03,2.2,4.46,2.35,9996.97,4550.0,0.0,9.997,0.0
